Carátula,Programa,Emisión,Tiempo,Tipo de música,Likes,Comentarios,Antigüedad,Reproducir
https://static-1.ivoox.com/audios/6/7/9/0/4611570610976_SM.jpg,ESTÁ PASANDO RADIOSHOW.,Especial Charla Chalada con el gran Fernando Porres. (Ep2. T2). ,01:03:57,Alternativa e indie,13,10,29 días,https://www.ivoox.com/especial-charla-chalada-gran-fernando-porres-audios-mp3_rf_42905913_1.html?autoplay=true
https://static-2.ivoox.com/audios/1/7/2/5/4281570985271_SM.jpg,Talk to Him,Synthwave Session (Him DJ Set),01:15:56,Alternativa e indie,15,8,25 días,https://www.ivoox.com/synthwave-session-him-dj-set-audios-mp3_rf_43016849_1.html?autoplay=true
https://static-2.ivoox.com/canales/3/6/2/2/4781552462263_SM.jpg,Turbo 3,Turbo 3 - Viernes eléctrico (338) - 25/10/19,59:01,Alternativa e indie,7,0,13 días,https://www.ivoox.com/turbo-3-viernes-electrico-338-25-10-19-audios-mp3_rf_43535264_1.html?autoplay=true
https://static-2.ivoox.com/canales/3/5/8/5/8671452295853_SM.jpg,Podcast Estación Indie Rock,7x11 Estación Indie Rock 2019-10-15 DIIV y Los Marcianos,58:33,Alternativa e indie,4,0,23 días,https://www.ivoox.com/7x11-estacion-indie-rock-2019-10-15-diiv-los-audios-mp3_rf_43101379_1.html?autoplay=true
https://static-2.ivoox.com/audios/7/6/5/8/8231572708567_SM.jpg,Cita en el Asteroide Edén ,Cita en el Asteroide Edén Temp 2 Ep 3 Especial JOY DIVISION,02:02:08,Alternativa e indie,3,4,5 días,https://www.ivoox.com/cita-asteroide-eden-temp-2-ep-audios-mp3_rf_43830337_1.html?autoplay=true
https://static-2.ivoox.com/canales/9/4/8/1/11557941849_SM.jpg,Festival Survivors ,"01 11 19 Festival Survivors con Ana Elva Hernández, 99.9 Valencia Radio ",57:24,Alternativa e indie,2,0,5 días,https://www.ivoox.com/01-11-19-festival-survivors-ana-elva-audios-mp3_rf_43749144_1.html?autoplay=true
https://static-1.ivoox.com/canales/0/3/2/2/2041552462230_SM.jpg,El Sótano,The Montesas vuelven a hacerlo (El Sótano),59:57,Alternativa e indie,0,0,+1 año,https://www.ivoox.com/the-montesas-vuelven-a-hacerlo-el-sotano-audios-mp3_rf_316334_1.html?autoplay=true
https://static-1.ivoox.com/canales/0/3/2/2/2041552462230_SM.jpg,El Sótano,El sótano - Amor en el garaje - 17/08/16,59:03,Alternativa e indie,4,0,+1 año,https://www.ivoox.com/sotano-amor-garaje-audios-mp3_rf_12576816_1.html?autoplay=true
https://static-2.ivoox.com/canales/9/3/4/0/4051552460439_SM.jpg,180 Grados,"180 grados - Maga con Santi Balmes, Vetusta Morla, Noel Gallagher y The Last Internationale - 30/10/17",59:06,Alternativa e indie,5,0,+1 año,https://www.ivoox.com/180-grados-maga-santi-balmes-vetusta-audios-mp3_rf_21767710_1.html?autoplay=true
https://static-2.ivoox.com/canales/9/3/4/0/4051552460439_SM.jpg,180 Grados,"180 grados - Feeder, Wild Beasts, Roosevelt y Prophets Of Rage - 20/07/16",58:48,Alternativa e indie,2,0,+1 año,https://www.ivoox.com/180-grados-feeder-wild-beasts-roosevelt-y-audios-mp3_rf_12280371_1.html?autoplay=true
https://static-1.ivoox.com/canales/0/3/2/2/2041552462230_SM.jpg,El Sótano,El sótano - DJ El Coloso de Roda; sesión pícara - 25/11/16,58:55,Alternativa e indie,9,0,+1 año,https://www.ivoox.com/sotano-dj-el-coloso-roda-audios-mp3_rf_14022756_1.html?autoplay=true
https://static-1.ivoox.com/canales/0/3/2/2/2041552462230_SM.jpg,El Sótano,El sótano - Pinchadiscos invitado: Jorge Explosion (directo) - 14/12/10,58:27,Alternativa e indie,2,0,+1 año,https://www.ivoox.com/sotano-pinchadiscos-invitado-jorge-explosion-directo-audios-mp3_rf_458966_1.html?autoplay=true
https://static-1.ivoox.com/audios/4/1/0/8/3771518128014_SM.jpg,Bienvenido a los 90,Programa 339 - Metallica (Wizink Center -Madrid 3 febrero 2018) Parte 1,01:49:00,Alternativa e indie,11,2,1 año,https://www.ivoox.com/programa-339-metallica-wizink-center-madrid-3-audios-mp3_rf_23644420_1.html?autoplay=true
https://static-1.ivoox.com/canales/0/3/2/2/2041552462230_SM.jpg,El Sótano,"El sótano - Giant Sand, Bule Bule Toga Fest, Frank Black, Dead Capo,... - 25/09/19",59:05,Alternativa e indie,3,0,1 mes,https://www.ivoox.com/sotano-giant-sand-bule-bule-toga-audios-mp3_rf_41968175_1.html?autoplay=true
https://static-1.ivoox.com/audios/6/7/9/0/4611570610976_SM.jpg,ESTÁ PASANDO RADIOSHOW.,Especial Charla Chalada con el gran Fernando Porres. (Ep2. T2). ,01:03:57,Alternativa e indie,13,10,29 días,https://www.ivoox.com/especial-charla-chalada-gran-fernando-porres-audios-mp3_rf_42905913_1.html?autoplay=true
https://static-1.ivoox.com/audios/6/1/3/3/01567873316_SM.jpg,Ecos del siglo XX,Ecos del siglo XX - #11 - Creíamos que llegarían a más,01:16:25,Alternativa e indie,11,0,2 meses,https://www.ivoox.com/ecos-del-siglo-xx-11-creiamos-audios-mp3_rf_41012990_1.html?autoplay=true
https://static-1.ivoox.com/canales/0/3/2/2/2041552462230_SM.jpg,El Sótano,El Sótano - Rock'n'Roll desde la Cripta - 01/11/19,58:56,Alternativa e indie,10,1,6 días,https://www.ivoox.com/sotano-rock-039-n-039-roll-desde-cripta-audios-mp3_rf_43817385_1.html?autoplay=true
https://static-2.ivoox.com/canales/9/3/4/0/4051552460439_SM.jpg,180 Grados,180 Grados - Fuel Fandango y Haim - 31/10/19,59:11,Alternativa e indie,1,0,7 días,https://www.ivoox.com/180-grados-fuel-fandango-haim-audios-mp3_rf_43774711_1.html?autoplay=true
